iter,Energy,sigma_E,Mx,Mz,Ntot,accept
0,8.022470478828884,0.007833374021155656,0.9997718377398102,-0.009212493896484375,0.4953937530517578,0.9870217641194662
1,7.995329902984503,0.008033508332019382,0.9997267072742497,-0.011810302734375,0.4940948486328125,0.9841826756795248
2,7.974019847748894,0.007725257548390833,0.9996374533249369,-0.013866424560546875,0.49306678771972656,0.9797134399414062
3,7.933645649189623,0.008132030067703803,0.999472327770265,-0.019927978515625,0.4900360107421875,0.9751974741617838
4,7.901229910899026,0.008738172321777368,0.9992561578826148,-0.0234832763671875,0.48825836181640625,0.9693997701009115
5,7.856048421824578,0.007830596638039856,0.9989342872663074,-0.029140472412109375,0.4854297637939453,0.963526725769043
6,7.825771432106916,0.00820676162363588,0.9986459836207842,-0.033420562744140625,0.4832897186279297,0.9575341542561849
7,7.7883269987718124,0.008609960587926435,0.9982074613450449,-0.036785125732421875,0.48160743713378906,0.9512341817220052
8,7.735740829184121,0.008188335424496698,0.9975716426792629,-0.0417327880859375,0.47913360595703125,0.9449195861816406
9,7.7145916755455,0.007880307825529136,0.9972947218223018,-0.04515838623046875,0.4774208068847656,0.9378398259480795
10,7.682020765807405,0.008434043815258172,0.9967965741525661,-0.0489501953125,0.47552490234375,0.9316479365030924
11,7.646358324126312,0.008587749562557583,0.9961540717063206,-0.05072784423828125,0.4746360778808594,0.9246864318847656
12,7.600709752935596,0.008401362872025536,0.9953653750031026,-0.055850982666015625,0.4720745086669922,0.918177604675293
13,7.548538364694696,0.008457761469855074,0.9943050909082853,-0.06011962890625,0.469940185546875,0.9117066065470377
14,7.5314177079619995,0.009007283871196987,0.993884605778695,-0.060688018798828125,0.46965599060058594,0.904743512471517
15,7.477749119135649,0.008735060917186488,0.9925818154229219,-0.06336212158203125,0.4683189392089844,0.8978532155354818
16,7.447252264791238,0.008527990965579756,0.9919522768070054,-0.06856918334960938,0.4657154083251953,0.8910566965738932
17,7.388830506584989,0.009171889636011406,0.9905423540817165,-0.07500839233398438,0.4624958038330078,0.8837645848592123
18,7.3503793652560985,0.00883923430019039,0.9894889313373507,-0.0778350830078125,0.46108245849609375,0.8771247863769531
19,7.313800354656345,0.009194329816459804,0.9883832037493943,-0.0799713134765625,0.46001434326171875,0.870306650797526
20,7.286953520685352,0.009275754628979142,0.9874982993114245,-0.08046340942382812,0.45976829528808594,0.8629372914632162
21,7.252681799048801,0.0088421934050976,0.9866215598547319,-0.08582687377929688,0.45708656311035156,0.8557570775349935
22,7.186344448085253,0.0091245635526643,0.9841887222555786,-0.086395263671875,0.4568023681640625,0.8482592900594076
23,7.1481601481431625,0.009275458677325356,0.9829737936876862,-0.0908203125,0.45458984375,0.8411521911621094
24,7.11423957085571,0.009262671223837442,0.981860971508131,-0.0935821533203125,0.45320892333984375,0.8338286081949869
25,7.046363469165981,0.0089691541420413,0.9794166960548756,-0.09946060180664062,0.4502696990966797,0.826390266418457
26,6.995906691804729,0.009317401435744157,0.9773740063004498,-0.1010589599609375,0.44947052001953125,0.8183886210123698
27,6.965944118497578,0.009520463434185488,0.9762470332963045,-0.103302001953125,0.4483489990234375,0.8118648529052734
28,6.933226536728349,0.009434024746840219,0.974882672197449,-0.10516738891601562,0.4474163055419922,0.8034292856852213
29,6.854595547843732,0.009826336553730245,0.9715072976397514,-0.10918426513671875,0.4454078674316406,0.7958876291910807
30,6.815344422074957,0.009488778946820129,0.9698346143946117,-0.11235427856445312,0.44382286071777344,0.7882035573323568
31,6.7730538647964345,0.009653583734776247,0.9678543079987635,-0.11312484741210938,0.4434375762939453,0.7804422378540039
32,6.710534150710833,0.009838566782610442,0.9650733808881744,-0.1168975830078125,0.44155120849609375,0.772802988688151
33,6.661880670350943,0.009832646868026236,0.9628205512367976,-0.12047958374023438,0.4397602081298828,0.7650731404622396
34,6.625478762007744,0.009929198046499783,0.9609442826693273,-0.12107086181640625,0.4394645690917969,0.7562157313028971
35,6.561101924454298,0.010073639217043929,0.9578250995779001,-0.12514114379882812,0.43742942810058594,0.7485198974609375
36,6.510748193311358,0.010064876907953883,0.9550605921277091,-0.124969482421875,0.4375152587890625,0.7404060363769531
37,6.449819630024063,0.010181824516190296,0.9518561911820389,-0.12839889526367188,0.43580055236816406,0.7325506210327148
38,6.405214258893613,0.010498351252109572,0.9495095484882351,-0.13001251220703125,0.4349937438964844,0.7244933446248373
39,6.341987799529798,0.010274244678466667,0.946286114948155,-0.13472747802734375,0.4326362609863281,0.7158727645874023
