iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-46.8417324780088,0.014595219528031113,-0.7656518322603285,0.0009102776778394976,-0.0006046295166015625,0.0006197349136183514,0.0032138824462890625,0.0032737168962379774,nan,nan,nan,nan,0.4642922083536784
1,-47.073684827536695,0.012849880763349694,-0.7502686443176365,0.0009018123314369787,-0.0004138946533203125,0.0005854629209495546,0.0053310394287109375,0.003459834282890498,nan,nan,nan,nan,0.4477936426798503
2,-47.246900701782984,0.012102041176265888,-0.7374201850565337,0.0009500840556646514,0.0006885528564453125,0.0005734508510132081,-0.0016651153564453125,0.0037447381680669033,nan,nan,nan,nan,0.4344472885131836
3,-47.4266186702775,0.011591299892141296,-0.7229442931204755,0.0009987971976560778,-0.0004177093505859375,0.0005277717631432604,0.0012493133544921875,0.00392029380741634,nan,nan,nan,nan,0.4208207130432129
4,-47.56505906801541,0.00997834003447096,-0.7103793116419642,0.00094400796955888,-0.0003414154052734375,0.0005333092075009694,0.0028095245361328125,0.004186586908992409,nan,nan,nan,nan,0.4085410435994466
5,-47.67352660876995,0.009573452064273224,-0.6995601392183942,0.0009521859133907565,-0.0007781982421875,0.0005320062579195637,0.00937652587890625,0.00437081527143724,nan,nan,nan,nan,0.39796193440755206
6,-47.782296016280306,0.009069521239045607,-0.6885669723959335,0.0009834862900848097,-2.6702880859375e-05,0.0005491031696029437,0.00389862060546875,0.00437755583002751,nan,nan,nan,nan,0.38802671432495117
7,-47.88432176774483,0.008416410008253704,-0.6773280372686615,0.0009685580943302402,-0.000453948974609375,0.0005144093703576686,-0.009830474853515625,0.004551104002098095,nan,nan,nan,nan,0.37703339258829754
8,-47.953737428174314,0.008565310439169044,-0.6696604886548938,0.0010150664230272422,-0.0002269744873046875,0.0005573419631548602,-0.0049724578857421875,0.0049556451182342426,nan,nan,nan,nan,0.3695411682128906
9,-48.03179160144406,0.008395373138716902,-0.6599924992823777,0.0010289496347574952,-0.00067138671875,0.000513916321434963,-0.004505157470703125,0.005232055620560016,nan,nan,nan,nan,0.36008628209431964
10,-48.102156254733245,0.008064142740437596,-0.651500623295,0.001070237961157663,-3.0517578125e-05,0.0005171746889258922,0.007404327392578125,0.005505211042606555,nan,nan,nan,nan,0.35155630111694336
11,-48.15020098770336,0.00795113142019231,-0.6444549603195151,0.001073863598886421,-0.0005092620849609375,0.00047987073548465216,0.0038814544677734375,0.005328321248426538,nan,nan,nan,nan,0.3446617126464844
12,-48.22314514846043,0.007541899367545376,-0.6347707231082622,0.0010498858065961269,-0.0003376007080078125,0.0004719668983432757,0.011949539184570312,0.005744791727055431,nan,nan,nan,nan,0.33546288808186847
13,-48.27016358889708,0.006894617469314597,-0.6284762850932004,0.001006974279557572,0.0004100799560546875,0.0005023056737474492,0.0026569366455078125,0.0062102425182123805,nan,nan,nan,nan,0.32978471120198566
14,-48.32202304390022,0.007152419640086524,-0.6228990269877417,0.0011164889418380656,-0.0005092620849609375,0.0005102924527144218,0.0065479278564453125,0.006578566396302072,nan,nan,nan,nan,0.3228367169698079
15,-48.34346228519559,0.006575707190769283,-0.6186815488840428,0.001076017289332762,-7.2479248046875e-05,0.0005043600359144158,0.002422332763671875,0.00673322590682703,nan,nan,nan,nan,0.3167807261149089
16,-48.383039378401854,0.007157027927047871,-0.612947513698172,0.0011248840253032897,0.0003662109375,0.00047402122636144953,-0.000823974609375,0.006711415227815456,nan,nan,nan,nan,0.3114916483561198
17,-48.424298883461375,0.006703749104177114,-0.6074422168457589,0.0011100826891306682,-0.00093841552734375,0.000490953237764785,0.001667022705078125,0.0071479915172060395,nan,nan,nan,nan,0.3059878349304199
18,-48.47079104871094,0.006803623180821188,-0.6002383523854897,0.001071932735026671,-8.392333984375e-05,0.0004951920024809305,-0.015941619873046875,0.007327455108516361,nan,nan,nan,nan,0.29978450139363605
19,-48.50102752993268,0.006534960309138833,-0.5950857219499106,0.0011451386648398335,0.0003185272216796875,0.00048503140425152535,0.0037250518798828125,0.007684537775640288,nan,nan,nan,nan,0.29508384068806964
20,-48.53157272779644,0.006870763940095223,-0.5921140963218017,0.0011838487763115137,-0.0002346038818359375,0.00048573939194557057,0.008886337280273438,0.007688079656558534,nan,nan,nan,nan,0.2891947428385417
