iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,16.028230846605123,0.06802885666080767,0.9996859671403044,3.4318243784028655e-05,0.003574371337890625,0.0014023888540356869,0.002513885498046875,0.0014024229826414313,nan,nan,0.9838536580403646
1,7.328706475102265,0.040697718662167176,0.9042577345181984,0.0010384140103826488,-0.000370025634765625,0.0007827905933015417,0.000171661376953125,0.001445297349677807,nan,nan,0.7260023752848307
2,5.375409560845523,0.03862324849458481,0.864976967368222,0.001236470775179073,-0.000362396240234375,0.0007129032668582838,0.002498626708984375,0.0014365618131546912,nan,nan,0.6573994954427084
3,3.380217771133537,0.04110108788452749,0.8108833506810161,0.001532591324915424,0.000255584716796875,0.0005954378597363055,0.003154754638671875,0.0016717655668336167,nan,nan,0.5870685577392578
4,1.2408715266528598,0.04125620239958224,0.7348416481791689,0.0018260675622843471,-0.000438690185546875,0.0005485100910969689,0.001811981201171875,0.0016305692484435998,nan,nan,0.5135892232259115
5,-1.1867226583114499,0.043492729658296765,0.6327073713915006,0.0021430174581848513,-0.000606536865234375,0.00048531620052953705,-0.001430511474609375,0.0018106931497112136,nan,nan,0.437530517578125
6,-3.871980433017408,0.04764044122021329,0.5021503672034521,0.002669819516867742,-0.0001983642578125,0.0004589814637160295,0.00433349609375,0.0019010420487215146,nan,nan,0.3644873301188151
7,-4.5566497490419025,0.7135053952810068,0.33700140035171955,0.0034935835330389205,0.00098419189453125,0.005139936164560049,0.00095367431640625,0.002196841495983693,nan,nan,0.2914142608642578
8,-10.251984641100103,0.0540770850414981,0.15568210082403836,0.003031940004299192,-4.9591064453125e-05,0.0004692026451556602,0.000362396240234375,0.0023945100349030625,nan,nan,0.24461746215820312
9,-13.228775761381014,0.32757895158070954,-0.044539600605855136,0.003211008352044057,0.001953125,0.0022331981952806996,0.00086212158203125,0.0028058861552929817,nan,nan,0.22826004028320312
