iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,-64.33176126213499,0.010569563637891275,-0.38504476561217915,0.0009905226051038075,7.62939453125e-06,0.00035731102895468774,-0.015834808349609375,0.02853849230450219,nan,nan,0.08838629722595215
1,-64.3680518333748,0.010246582852745127,-0.38159111466784157,0.0009941127635211648,-0.000560760498046875,0.000342078549706302,-0.01605224609375,0.028583277723266597,nan,nan,0.0841144323348999
2,-64.40493557537476,0.010169281634271382,-0.3778693084550001,0.0010193593985208162,-1.52587890625e-05,0.00034608754220718797,-0.016445159912109375,0.028624764592512408,nan,nan,0.08280718326568604
3,-64.42723272250001,0.009869865749993188,-0.3757410330177717,0.001027895477221379,-0.0006618499755859375,0.00032965370882870814,-0.016054153442382812,0.02867864107089416,nan,nan,0.08128762245178223
4,-64.47269638164865,0.009751302068802366,-0.3708450062767987,0.0010460316904205662,0.0002880096435546875,0.0003445008167376656,-0.015493392944335938,0.028732658148906406,nan,nan,0.08005404472351074
5,-64.48292415467625,0.00947902380536793,-0.36975145755149535,0.0010607390740631712,-0.000213623046875,0.00033638487379946037,-0.016510009765625,0.028741685465165548,nan,nan,0.07883155345916748
6,-64.50893548945783,0.009229632436174638,-0.3666786698914697,0.0010573021969271827,0.0002536773681640625,0.0003378954402906653,-0.016172409057617188,0.02878714403945287,nan,nan,0.07760798931121826
7,-64.53331513595066,0.008465780728976894,-0.3639990277124835,0.0010109434599774453,-0.0002422332763671875,0.00034000729182613343,-0.015893936157226562,0.02882106645270606,nan,nan,0.07649564743041992
8,-64.54837679818495,0.008401461102151744,-0.362082139793213,0.0010356161622803671,0.0001773834228515625,0.00032518226642236136,-0.017194747924804688,0.028836584834907836,nan,nan,0.07560646533966064
9,-64.58824025249358,0.007835259047474749,-0.35717501822849673,0.0009923017762637008,0.000156402587890625,0.00035038899555750523,-0.01654052734375,0.028903578866094334,nan,nan,0.07413065433502197
10,-64.59749222723966,0.00787249090770999,-0.35617620034318787,0.0010323823774996573,-2.09808349609375e-05,0.00031940477424252406,-0.017263412475585938,0.028927104315292988,nan,nan,0.0733034610748291
11,-64.61928230207289,0.007236933567043897,-0.3529477232767825,0.0009807822564437975,-0.000743865966796875,0.00032107802252453994,-0.01677703857421875,0.028954905058324303,nan,nan,0.07223856449127197
12,-64.63678103860266,0.007331563973327796,-0.35071233094967824,0.001028097603899745,4.1961669921875e-05,0.00033187607152382673,-0.01678466796875,0.028990677200674022,nan,nan,0.07095217704772949
13,-64.64771943846071,0.006999254559196603,-0.3491112059009215,0.0010103436521787922,0.00029754638671875,0.0003322633857819547,-0.016033172607421875,0.029007572125264572,nan,nan,0.07044768333435059
14,-64.66170881965672,0.006770406463319005,-0.3474995871537318,0.0010141497392828567,0.000301361083984375,0.0003221535052669845,-0.016490936279296875,0.029043151142123223,nan,nan,0.0693671703338623
15,-64.67787150954464,0.006825970730439257,-0.3447500240917214,0.0010425173671139525,-0.0001430511474609375,0.0003121386779800326,-0.016603469848632812,0.029065687608711765,nan,nan,0.06868350505828857
