iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,-38.3942833775718,0.008788738362234932,-0.8502393875506011,0.0008237825662507822,1.71661376953125e-05,0.00044495971174785735,0.0005970001220703125,0.0014358011411739456,nan,nan,0.5604130427042643
1,-38.4711701644474,0.00698745811016132,-0.8579162935989486,0.0007675093781545859,8.392333984375e-05,0.00043575390034422977,0.002613067626953125,0.001387433477992141,nan,nan,0.5727841059366862
2,-38.53693196741565,0.00600675146478104,-0.8655020039620396,0.0007551212645620257,-0.000408172607421875,0.00045947927491293426,-0.001255035400390625,0.0014509951698664222,nan,nan,0.5828812917073568
3,-38.57538982339041,0.005299746315869827,-0.8709337703164617,0.0007582350173327349,0.0001659393310546875,0.00046813740722318,-0.0012340545654296875,0.001409732463847344,nan,nan,0.5914963086446127
4,-38.60943795234222,0.004488691375799469,-0.875386728678855,0.0007112070355497284,0.000553131103515625,0.00044913804886340266,-0.00142669677734375,0.0013590246747157391,nan,nan,0.5994753837585449
5,-38.638613605803535,0.003887559321444523,-0.8805945730476011,0.0006906778240091629,-0.00020599365234375,0.0004796942706925131,0.001804351806640625,0.001348896206080117,nan,nan,0.6053417523701986
6,-38.651160357199466,0.003664432022929387,-0.8819936949891936,0.0006995789420312055,-4.1961669921875e-05,0.000470357953209717,0.00029754638671875,0.0013541133850643915,nan,nan,0.610627015431722
7,-38.66959632768603,0.0032379269847217637,-0.8850375467729035,0.0006847880165811463,0.000110626220703125,0.0004773077728578522,-0.001819610595703125,0.0013306520779061716,nan,nan,0.6152485211690267
8,-38.678036302216114,0.0028031061468993626,-0.8861993797864005,0.0006741724619146346,2.288818359375e-05,0.0004965767375952593,0.002727508544921875,0.0012189018171853568,nan,nan,0.619469960530599
9,-38.70079511810362,0.0027172433175756613,-0.8910887910737867,0.0006752515588908856,0.0001163482666015625,0.000495351815518197,-0.0007991790771484375,0.0012532660981960332,nan,nan,0.6229689915974935
10,-38.69886695709247,0.002502699473196116,-0.8921133047588117,0.0006858347824132636,-0.000270843505859375,0.0005033254787169864,0.0003662109375,0.0012833664407690601,nan,nan,0.626101016998291
11,-38.71203038646502,0.002298549265634203,-0.8939588342991023,0.000677880817202018,-0.000324249267578125,0.00048241049351379093,6.103515625e-05,0.0012729319544573657,nan,nan,0.6291604042053223
