iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-41.19293621740992,0.004006483874227551,-0.850618560709544,0.0007518717541259933,0.000553131103515625,0.0004467991843590803,0.00318145751953125,0.0013514530397097466,nan,nan,nan,nan,0.5607366561889648
1,-41.20750890152383,0.003451292493445105,-0.8536850665787052,0.0007812592251404418,0.000217437744140625,0.00043091145683191813,0.0001220703125,0.0014336234258222984,nan,nan,nan,nan,0.5661457379659017
2,-41.22356863647024,0.00298742241045889,-0.857379970942789,0.0007901218335193181,-0.0001468658447265625,0.0004214827052157387,0.0002536773681640625,0.0013990846887812968,nan,nan,nan,nan,0.5714874267578125
3,-41.236119771247424,0.0024171586548800052,-0.8606468936059841,0.0007329379416839133,-0.0001468658447265625,0.00045271079483970067,0.0005207061767578125,0.0014341555092447038,nan,nan,nan,nan,0.5753682454427084
4,-41.242693545992594,0.002212520250019345,-0.8624555420206279,0.00076983387070478,-0.000164031982421875,0.0004443653830508025,-0.000370025634765625,0.0013973388808864926,nan,nan,nan,nan,0.579023520151774
5,-41.245402908649396,0.0018392734002270537,-0.8631956077451284,0.0007201806649360092,-0.0006465911865234375,0.0004491817973332615,0.0002307891845703125,0.0013687647353471707,nan,nan,nan,nan,0.5822860399881998
6,-41.252989250653684,0.0016262639655341444,-0.866276485332607,0.0007061457050243705,0.000396728515625,0.0004350741250651347,-0.0020599365234375,0.001409247832001749,nan,nan,nan,nan,0.5840981801350912
7,-41.254488007206355,0.0015625633176244047,-0.8682306443145342,0.000745467035349596,0.000125885009765625,0.000418459824223831,-1.52587890625e-05,0.0014094388503461508,nan,nan,nan,nan,0.5865828196207682
8,-41.25864137932745,0.0014433562175569237,-0.8693663556140494,0.0007479739920525257,-0.000263214111328125,0.00044612719264178994,0.000240325927734375,0.0013366295754365781,nan,nan,nan,nan,0.5884410540262858
9,-41.261055156290546,0.0012804134936135448,-0.8702061888213946,0.0007216524446569193,0.000247955322265625,0.00048200851873757234,-4.1961669921875e-05,0.0013954221187856225,nan,nan,nan,nan,0.5897897084554037
10,-41.26180504805422,0.0011925681160901457,-0.8694437775524213,0.0007276158098287104,-0.00016021728515625,0.00046446276827189116,-0.00055694580078125,0.0013762937523698205,nan,nan,nan,nan,0.5913516680399576
11,-41.26599940628569,0.001059219783954748,-0.8723412667015005,0.0007230293174569416,0.0008335113525390625,0.0004590018283343616,0.0014705657958984375,0.0013942653045577278,nan,nan,nan,nan,0.5930811564127604
12,-41.26605039012676,0.0009978796808870884,-0.8723914735089329,0.0007689731908406806,0.0002593994140625,0.00047753045226327906,0.0006866455078125,0.0013787068426687552,nan,nan,nan,nan,0.5940154393513998
13,-41.266251410405346,0.0008902773151186654,-0.872666815025765,0.0007368876500053619,-9.5367431640625e-05,0.0004840275028586089,-0.000476837158203125,0.0013655043485957074,nan,nan,nan,nan,0.5953720410664877
14,-41.269435022179564,0.0009275471794236032,-0.8731579566518949,0.0007530208704342882,2.288818359375e-05,0.0004437106195491041,-0.000804901123046875,0.0013553912216890175,nan,nan,nan,nan,0.5964619318644205
15,-41.26943278981463,0.0008001589534944601,-0.8742246930985774,0.0007469748930048667,0.0002536773681640625,0.00046182441132781014,0.0012569427490234375,0.001293582903353819,nan,nan,nan,nan,0.5971811612447103
16,-41.27080756406747,0.000774450148892187,-0.875307794242584,0.0007432499029022497,0.0001678466796875,0.0004705119229101438,0.00127410888671875,0.0013298918671560544,nan,nan,nan,nan,0.5974950790405273
17,-41.27209445796837,0.0006888209302031204,-0.8765115649165873,0.000722179589800955,-0.00035858154296875,0.00043905064555758354,-0.0035858154296875,0.001457140549942673,nan,nan,nan,nan,0.5983624458312988
18,-41.272823001021585,0.0006335940377157579,-0.8765525277463545,0.0006887323468548997,0.0001354217529296875,0.00045152688918489444,-0.0005168914794921875,0.001348488146084642,nan,nan,nan,nan,0.5988659858703613
19,-41.27244122651765,0.0006629001591032138,-0.8768377855671392,0.000733889000182975,-0.00026702880859375,0.0004726366759881421,-0.0008544921875,0.0012937083342210482,nan,nan,nan,nan,0.5993925730387369
20,-41.273293522531574,0.0005715877354429465,-0.8775786790601876,0.0007339150982583373,0.0003223419189453125,0.0004384795670021884,-0.0008563995361328125,0.0013205896383959948,nan,nan,nan,nan,0.6005352338155111
21,-41.27397371429942,0.000555847520437744,-0.8768342212796707,0.0007166331683675373,0.00025177001953125,0.0004654242112338283,0.000141143798828125,0.0013117391443483123,nan,nan,nan,nan,0.6005984942118326
22,-41.27412583477735,0.0005189570757698393,-0.877106008030168,0.0007570934845990149,5.53131103515625e-05,0.0004542027790612429,0.0005397796630859375,0.0013643777878063843,nan,nan,nan,nan,0.6009087562561035
23,-41.27415972505247,0.0004986284710970171,-0.877365535575992,0.0007333238523087699,0.0002079010009765625,0.0004452496727048581,-0.0008945465087890625,0.0013463873736147976,nan,nan,nan,nan,0.601830005645752
24,-41.27401850478498,0.0004818613426055868,-0.8771089148060833,0.000714582990350832,-0.0008029937744140625,0.0004922394438743146,0.0006771087646484375,0.0013422299192976312,nan,nan,nan,nan,0.6020037333170573
25,-41.27537819903674,0.0004065625024679792,-0.8782941535775113,0.0007093783938100991,8.58306884765625e-05,0.0004588870130170594,-5.7220458984375e-06,0.0012753574490012797,nan,nan,nan,nan,0.6027433077494303
26,-41.27503510896605,0.00040502194785150387,-0.878952631127925,0.0007420934786950606,-0.00025177001953125,0.00046734310947709536,-0.002407073974609375,0.0012653635566187058,nan,nan,nan,nan,0.6027290026346842
27,-41.27432963420743,0.0004242339633079961,-0.8781267474555705,0.0007091653024326606,0.0009212493896484375,0.0004643810612430075,0.0006923675537109375,0.0013003133544305157,nan,nan,nan,nan,0.6028221448262533
28,-41.27500427254312,0.00036740540213227096,-0.877447021210379,0.0006981300861528991,5.340576171875e-05,0.00046348363283261394,-0.001087188720703125,0.001335453855383318,nan,nan,nan,nan,0.6030440330505371
29,-41.27513138578638,0.0003384717758250105,-0.8769530517941533,0.0007361795569455382,0.0005550384521484375,0.0004636058236606606,-0.0016269683837890625,0.0013743024501162771,nan,nan,nan,nan,0.6029464403788248
30,-41.275327520800296,0.00032270357202599496,-0.8796730025903422,0.0007030102463858267,0.0011730194091796875,0.00044889716216626064,2.09808349609375e-05,0.0012716806475942509,nan,nan,nan,nan,0.6036462783813477
31,-41.27571940758311,0.00031855874876645,-0.8780004129980952,0.0007619839926620645,0.0006771087646484375,0.00048425946886740563,-0.0015926361083984375,0.0012729622947202535,nan,nan,nan,nan,0.6038389205932617
32,-41.27574569450899,0.0002934673678701568,-0.879122955169004,0.0007402619589535962,0.00028228759765625,0.00045573747254701037,-0.00191497802734375,0.001234473431162831,nan,nan,nan,nan,0.6042842864990234
33,-41.27566893305237,0.000293575148772499,-0.8793279796873801,0.0006975312224522455,1.9073486328125e-06,0.00044259119033530925,-0.0012493133544921875,0.0013393866848832366,nan,nan,nan,nan,0.6037322680155436
34,-41.27648189244481,0.0002660854080849911,-0.8792545958186957,0.0007157262153681273,-0.0003070831298828125,0.0004578764023529784,0.0014095306396484375,0.0013109971228040078,nan,nan,nan,nan,0.6042410532633463
35,-41.27627574657441,0.00028335311175501434,-0.8795221768261587,0.0007112167012009573,0.0001201629638671875,0.0004674259252617268,-0.0001964569091796875,0.001350139170970142,nan,nan,nan,nan,0.6046714782714844
