iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-45.844747292958736,0.0056141914951521035,-0.3662489824611277,0.001052873434538236,-9.918212890625e-05,0.00033389345210978015,0.0363922119140625,0.04080718539458217,nan,nan,nan,nan,0.07750240961710612
1,-45.88611073398469,0.004468573712692347,-0.3744581825538172,0.0009211117142971762,0.0002231597900390625,0.0003550654542667443,0.03790092468261719,0.0406023421247067,nan,nan,nan,nan,0.07870022455851237
2,-45.90866377335603,0.004359208546587519,-0.37958086213984,0.000985031054520524,0.00014495849609375,0.0003517634858595629,0.04216766357421875,0.04053148944803727,nan,nan,nan,nan,0.08087809880574544
3,-45.926393407119285,0.0040206821167340645,-0.38329698963567205,0.0009968321098056414,-0.0005550384521484375,0.00035035874859633476,0.04218482971191406,0.04042794804158371,nan,nan,nan,nan,0.08310699462890625
4,-45.951633417474156,0.0038653378470157765,-0.3898474644248907,0.0010365841361558222,0.000476837158203125,0.00037235788228597293,0.03943634033203125,0.04034818403159935,nan,nan,nan,nan,0.08516979217529297
5,-45.965507350873395,0.0035999240709705337,-0.39424481362347297,0.0010352787323896196,0.000125885009765625,0.0003641562248060496,0.03876495361328125,0.04028117075713121,nan,nan,nan,nan,0.0879201889038086
6,-45.97488690414262,0.003093320521277197,-0.3966518061003899,0.0009790497595056349,0.0008563995361328125,0.0003734666944646652,0.04013252258300781,0.04020435871265864,nan,nan,nan,nan,0.08918333053588867
7,-45.983415782858266,0.0030962601231321017,-0.39974674429820156,0.0010430517067033262,-8.7738037109375e-05,0.0003978999302784194,0.042163848876953125,0.04016357762367504,nan,nan,nan,nan,0.09104092915852864
8,-45.99748325583532,0.0027120724371029097,-0.40416428705926816,0.0009773039273334434,3.24249267578125e-05,0.00035390665277846114,0.04122352600097656,0.040026487479493604,nan,nan,nan,nan,0.09272146224975586
9,-46.00734996721574,0.0024795754301459765,-0.40728126033768264,0.0009716104995245461,0.000171661376953125,0.0003942180010865317,0.03748321533203125,0.039952883701751526,nan,nan,nan,nan,0.09431775410970052
10,-46.01482386430006,0.002279227027290689,-0.41007201365296453,0.0009657681356844544,-0.0005588531494140625,0.0003640854575513412,0.03246116638183594,0.03989691684506947,nan,nan,nan,nan,0.09590387344360352
11,-46.02440289490398,0.002203620833203761,-0.41452389114994953,0.0010182563305189676,-0.0005474090576171875,0.00040981871266466047,0.03248786926269531,0.03983545745263902,nan,nan,nan,nan,0.09739383061726888
12,-46.02942453916315,0.0020280002523784552,-0.41652557056863315,0.0009690707828614102,-0.000377655029296875,0.00038424166500032456,0.038204193115234375,0.03977662363557164,nan,nan,nan,nan,0.0983721415201823
13,-46.037533448358495,0.0019087065835717708,-0.4211241805302475,0.0009630475212586429,-0.0001773834228515625,0.000386557540763325,0.03670310974121094,0.03955555753749754,nan,nan,nan,nan,0.10003598531087239
14,-46.035391986734375,0.001796011945857247,-0.41932177232594503,0.0009777314394934322,-0.0001659393310546875,0.0003900060033216684,0.04135322570800781,0.03971130285826882,nan,nan,nan,nan,0.10091574986775716
15,-46.04266954118657,0.001701824839699817,-0.4232013394420876,0.0009860485316867092,-0.00014495849609375,0.00038291048128861376,0.045001983642578125,0.039609497109440395,nan,nan,nan,nan,0.10231781005859375
16,-46.042601458259846,0.0015505788207139544,-0.4224941742621955,0.0009982269295126802,-0.000270843505859375,0.00037040208164653674,0.045772552490234375,0.03956607771396992,nan,nan,nan,nan,0.10306835174560547
17,-46.05207583043743,0.0016082222586115177,-0.4279308500096035,0.0009978873844456004,6.67572021484375e-05,0.0003967496399660023,0.04369544982910156,0.03944688189888608,nan,nan,nan,nan,0.10444418589274089
18,-46.05105104897148,0.0015819158900605636,-0.4280083516492343,0.0010386143713190588,-9.34600830078125e-05,0.0004161357001994847,0.04519844055175781,0.03948477786469188,nan,nan,nan,nan,0.1052865982055664
19,-46.054803005374666,0.0013955562520841477,-0.4295356371203103,0.0009953409271522989,7.62939453125e-06,0.0003904802864114783,0.042179107666015625,0.03939127590049336,nan,nan,nan,nan,0.1062925656636556
20,-46.05754655822145,0.0013788667917654066,-0.4311245166315696,0.0009840034412286062,-1.71661376953125e-05,0.00038856976064937347,0.04238700866699219,0.03938497180532798,nan,nan,nan,nan,0.10697348912556966
21,-46.05981629484592,0.0012537900764477037,-0.43240089401938264,0.0009817570191349423,-0.000762939453125,0.0003982363985460804,0.042438507080078125,0.03931250990480976,nan,nan,nan,nan,0.1080950101216634
22,-46.06361917322414,0.001283963989504763,-0.43459278247534716,0.0010208062983090014,-0.000148773193359375,0.0003636194825508978,0.03476715087890625,0.039304919767858285,nan,nan,nan,nan,0.10882568359375
23,-46.06273728653788,0.0011884947785587997,-0.43440885644246,0.0009731918612202034,-0.0003719329833984375,0.0003884568824152935,0.030019760131835938,0.039278714834889636,nan,nan,nan,nan,0.10911750793457031
24,-46.063860005281654,0.001040704686067261,-0.4349473816884317,0.0009495248035473039,0.00019073486328125,0.0003875837021921805,0.028156280517578125,0.039302412982396326,nan,nan,nan,nan,0.1098480224609375
25,-46.06845493420184,0.0011091744875143662,-0.43844028033906746,0.0010272265888037007,-0.000308990478515625,0.00040225952001689296,0.0270538330078125,0.03919959805457804,nan,nan,nan,nan,0.11115105946858723
26,-46.06766185197747,0.0009877524136785957,-0.438750816689608,0.0009739177359166011,-0.000713348388671875,0.00039059596348435223,0.027973175048828125,0.03921148961368141,nan,nan,nan,nan,0.11163075764973958
27,-46.070844053941634,0.001030994418650653,-0.43952571009446095,0.0009855037265614972,0.0002346038818359375,0.0003971567555673641,0.03136634826660156,0.03913754577079845,nan,nan,nan,nan,0.11208454767862956
28,-46.07044758062362,0.0009854432045873845,-0.4391166720132664,0.0009895142123342703,-0.00020599365234375,0.0003867791648140866,0.027782440185546875,0.03908992158189078,nan,nan,nan,nan,0.11218754450480144
29,-46.07101726937845,0.000977512476096768,-0.440676546630542,0.0010497125964287494,-0.0003814697265625,0.00038860268338629123,0.03163909912109375,0.03911724234862847,nan,nan,nan,nan,0.1128832499186198
30,-46.07312851669207,0.0008810406309108868,-0.4412750537956338,0.0010363257477483388,0.000301361083984375,0.0003891797178022534,0.027675628662109375,0.03903224352882686,nan,nan,nan,nan,0.11376730600992839
31,-46.07063805881991,0.0008222445929588024,-0.4399740302154673,0.0010054775701825328,-0.0002841949462890625,0.0003724932176542504,0.028551101684570312,0.03904576671485344,nan,nan,nan,nan,0.11390399932861328
32,-46.074195474348066,0.0008417592811467091,-0.4416081280939481,0.0010059753469462043,-0.00028228759765625,0.0003930953391215477,0.029972076416015625,0.03902351481236587,nan,nan,nan,nan,0.11439816157023112
33,-46.07459905228322,0.000789518949570085,-0.44280482728295484,0.0010147098187199956,0.0006618499755859375,0.0004194338407547801,0.03357887268066406,0.03884583813054243,nan,nan,nan,nan,0.11508719126383464
34,-46.07520821777997,0.0007664700100640474,-0.44398063927159764,0.0010019830905100085,-0.0003337860107421875,0.00041291866967668863,0.03869056701660156,0.03889866856888817,nan,nan,nan,nan,0.11555115381876628
35,-46.07606845348659,0.0007367898145118093,-0.4433648652110221,0.00099699725233054,-0.0004444122314453125,0.000414614630445236,0.03293800354003906,0.038930254147081136,nan,nan,nan,nan,0.11594422658284505
36,-46.07744807181772,0.0007263548495594214,-0.44618020574240574,0.0010052188436780601,0.000217437744140625,0.00038806280426729816,0.027194976806640625,0.03892608905228591,nan,nan,nan,nan,0.11667839686075847
