iter,Energy,sigma_E,Mx,Mz,Ntot,accept
0,7.949179044953685,0.025737504651143214,0.9998384540238989,0.003856658935546875,nan,0.9881467819213867
1,7.067738146715126,0.02472428583653015,0.9968535816977928,0.0196990966796875,nan,0.9428939819335938
2,6.287857279264474,0.022947062889063997,0.9911562539654666,0.034091949462890625,nan,0.8923753102620443
3,5.401627402607801,0.024932949036743795,0.9799279016688143,0.046123504638671875,nan,0.8423700332641602
4,4.644474776288383,0.02288779537140092,0.9662653471154212,0.052947998046875,nan,0.7941850026448568
5,3.909684632020426,0.023567095596716377,0.9499865291402734,0.059604644775390625,nan,0.745843251546224
6,3.101613308410466,0.023890534596975033,0.9281599333085163,0.06756210327148438,nan,0.6990731557210287
7,2.359441231323425,0.024756739912777936,0.9045114192352005,0.06853866577148438,nan,0.6539233525594076
8,1.618682561774401,0.024800438655653175,0.8787017257521113,0.074737548828125,nan,0.6085300445556641
9,0.8417166235204843,0.023722071556407914,0.847567890492982,0.07659530639648438,nan,0.564782460530599
10,0.12596134476690715,0.023604637369419132,0.8160166497309419,0.07849502563476562,nan,0.5233923594156901
11,-0.6308688731435328,0.024270990979258864,0.7810171649162243,0.0818634033203125,nan,0.4811331431070964
12,-1.3801860347289245,0.02284328485589692,0.7424953969659192,0.08118057250976562,nan,0.44118531545003253
13,-2.0885128106070234,0.023498295623512508,0.7046657422549258,0.08209991455078125,nan,0.40195655822753906
14,-2.8222581843090886,0.023205158482194975,0.6625623074084159,0.08111190795898438,nan,0.36516348520914715
15,-3.494583899477076,0.023943846508777452,0.6218035143256104,0.08249282836914062,nan,0.32906246185302734
16,-4.173113920836423,0.024408044452612142,0.5792528257589374,0.08245468139648438,nan,0.2967764536539714
17,-4.913163670145199,0.02283702397283143,0.5297891248201022,0.08195114135742188,nan,0.26401805877685547
18,-5.5110844128061816,0.026332392887883162,0.48959150190093603,0.08188629150390625,nan,0.23536205291748047
19,-6.1882326057130586,0.026099095405719135,0.44203421365356066,0.08080673217773438,nan,0.20780499776204428
20,-6.806878414508487,0.02493754353913915,0.3964576609107917,0.07864761352539062,nan,0.1819162368774414
21,-7.3829673220537115,0.025408821618524924,0.3538998035167624,0.07732772827148438,nan,0.1590414047241211
22,-7.994571541833543,0.026717221609421818,0.3075380337776523,0.07574844360351562,nan,0.13747755686442056
23,-8.473293189889722,0.027645875725545,0.2713849248183622,0.07461166381835938,nan,0.12047894795735677
24,-8.88714116620172,0.027694764467913878,0.23841920049509732,0.07314682006835938,nan,0.10526371002197266
25,-9.248728468450393,0.028122844482670915,0.20854360853533013,0.0732574462890625,nan,0.0931851069132487
26,-9.654625126782339,0.03692692473040215,0.17492388123802455,0.07143020629882812,nan,0.0808248519897461
27,-9.967547804036352,0.029982789100504365,0.14635869858787634,0.07074356079101562,nan,0.07252724965413411
28,-10.342818623619255,0.03224419797078926,0.11362977070701344,0.07004547119140625,nan,0.06433455149332683
29,-10.604066482048644,0.03185790900609283,0.0900736396201988,0.07013320922851562,nan,0.057159423828125
30,-10.857703608158978,0.031130797283932157,0.06425371464813971,0.07123184204101562,nan,0.05164972941080729
31,-11.179103468542444,0.031889655693492905,0.034636838972436204,0.0670623779296875,nan,0.046579996744791664
32,-11.394547514398875,0.032200102098749794,0.01530239722190354,0.066192626953125,nan,0.04291375478108724
33,-11.565677374699515,0.029267750656428226,-0.006976082496399114,0.06671142578125,nan,0.04187774658203125
34,-11.85637808899284,0.028932924878017952,-0.02868388609829293,0.06352996826171875,nan,0.03872076670328776
35,-12.016428402019798,0.027887860948565706,-0.044701624917241736,0.06261062622070312,nan,0.03761068979899088
36,-12.20342118399841,0.026313353202914933,-0.06487162212710584,0.061206817626953125,nan,0.03652000427246094
37,-12.324093768301069,0.026021022852859108,-0.08256549362444784,0.06280517578125,nan,0.03679879506429037
