iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-59.564953970573356,0.004077244739471148,-0.2631301763357109,0.0010192833865445144,-0.0004711151123046875,0.0002537120838136505,0.04155540466308594,0.042529971049520575,nan,nan,nan,nan,0.038939317067464195
1,-59.59227125523742,0.0034568907196006787,-0.27039558482724235,0.000995943689259837,-1.33514404296875e-05,0.00026158439406173965,0.04163551330566406,0.04244425028402313,nan,nan,nan,nan,0.038405418395996094
2,-59.60542487678178,0.003080336564244268,-0.274423028811453,0.0010245299891273392,0.00012969970703125,0.00026812307905158336,0.0408935546875,0.04239093926395668,nan,nan,nan,nan,0.04001839955647787
3,-59.61377730919398,0.0026113569333555144,-0.27718434841892314,0.0009888509325494115,7.62939453125e-05,0.0002604831817674927,0.041034698486328125,0.04234967197707258,nan,nan,nan,nan,0.04094346364339193
4,-59.624108485584514,0.002346673525423197,-0.2814519949806095,0.001022732777718431,-3.24249267578125e-05,0.00026546041890207896,0.04135322570800781,0.042297734918901514,nan,nan,nan,nan,0.042227586110432945
5,-59.63074945073275,0.002024490145550974,-0.28405984287832053,0.0009858720918360447,-0.000331878662109375,0.0002725231259502889,0.041278839111328125,0.0422545975110159,nan,nan,nan,nan,0.042828877766927086
6,-59.6370530295302,0.0018265082933929312,-0.2877774555756326,0.0010089860436515354,-0.0002651214599609375,0.00028811234210652083,0.04064369201660156,0.04221324692802239,nan,nan,nan,nan,0.04372962315877279
7,-59.63947396295253,0.0015671087111790998,-0.2889750688320391,0.0009511465662648535,-0.000274658203125,0.0002803445650605801,0.041290283203125,0.04219045067769888,nan,nan,nan,nan,0.04446903864542643
8,-59.64136153274069,0.0014121092488690707,-0.28994341834392734,0.000989358116475333,-0.0001678466796875,0.0002657236833996777,0.040721893310546875,0.0421743771381702,nan,nan,nan,nan,0.04494825998942057
9,-59.644758058916075,0.001295551891789007,-0.2920260620822007,0.0010161637837598654,-0.000377655029296875,0.00027700211951245065,0.0409088134765625,0.0421410336357415,nan,nan,nan,nan,0.04559453328450521
10,-59.64493759669604,0.001117408194484042,-0.29242614026148916,0.0010075959442381176,5.91278076171875e-05,0.00027307160096004556,0.04087638854980469,0.04213959238511948,nan,nan,nan,nan,0.04589700698852539
11,-59.64869364547259,0.00103523915428246,-0.2960330274267312,0.0009801466785879893,0.000743865966796875,0.0002729770395294716,0.040729522705078125,0.04208920794854938,nan,nan,nan,nan,0.04657268524169922
12,-59.64907386250428,0.0009616359635884548,-0.29612413930240483,0.001013254544912653,-0.00030517578125,0.00027395529341537104,0.0413360595703125,0.04208560331914092,nan,nan,nan,nan,0.0470282236735026
13,-59.65098333361551,0.0008140375509289216,-0.2980341591746375,0.000993883328385992,-0.000370025634765625,0.00029669230826579444,0.04088592529296875,0.04205345955890404,nan,nan,nan,nan,0.04750219980875651
14,-59.65124882331296,0.000812179076782517,-0.2981322417740566,0.0010198203965051315,0.00054168701171875,0.0002756661143940211,0.041484832763671875,0.04204964258335147,nan,nan,nan,nan,0.047711690266927086
15,-59.65200260843819,0.0006538785482806025,-0.29934749191414955,0.0009821798565776022,-0.0001163482666015625,0.0002915046063658347,0.04105186462402344,0.042034643196751716,nan,nan,nan,nan,0.048215230305989586
16,-59.65264652337042,0.0006208408586398005,-0.30011132493272474,0.00101437973731904,1.52587890625e-05,0.00030207172938248204,0.0408935546875,0.042020472939602975,nan,nan,nan,nan,0.04821618398030599
