iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,32.04713587632335,0.028202155612315143,0.9999348036047029,1.819986946872395e-05,0.0025177001953125,0.0009494122395718531,-0.000263214111328125,0.0009754767236996233,nan,nan,0.991356611251831
1,31.90676607926433,0.027625762826688462,0.9998754983266783,2.126434373292495e-05,0.006317138671875,0.0009943082696844715,0.0001983642578125,0.0009762931942275076,nan,nan,0.9890217781066895
2,31.57678737131169,0.02705868370729135,0.9996582886611858,3.412049030596614e-05,0.005779266357421875,0.0009258174332728614,0.002193450927734375,0.0009938851233180488,nan,nan,0.9805735349655151
3,31.250625211793064,0.02636622397940445,0.9991711627174765,5.048923205863052e-05,0.0059528350830078125,0.0009085882096836442,0.0008220672607421875,0.0009484099865639373,nan,nan,0.9706538915634155
4,31.11912302793918,0.026702520947904686,0.9988894596117961,7.047170182014811e-05,0.0051479339599609375,0.0008889536535241876,0.0002956390380859375,0.0009661686465588298,nan,nan,0.9609161615371704
5,30.824179382774883,0.025954489176000205,0.9980462095612164,8.688549893279794e-05,0.0041065216064453125,0.0008517763571483242,0.0016613006591796875,0.0009772777539196465,nan,nan,0.951261043548584
6,30.628963647799765,0.024303858237170264,0.9973424266637605,9.873009824174423e-05,0.00623321533203125,0.000841321264897647,-0.000156402587890625,0.0009755923876561505,nan,nan,0.9417464733123779
7,30.42841973251202,0.02431067796485828,0.9964530865354222,0.0001160070040976709,0.0045757293701171875,0.0008045364894602903,-0.0015773773193359375,0.0009518627137431675,nan,nan,0.9326337575912476
8,30.215692521581268,0.024099622294917907,0.9953644611328133,0.0001339322689533515,0.002887725830078125,0.0007703552501101179,0.00091552734375,0.0010085727005177767,nan,nan,0.9234960079193115
9,30.06430460771268,0.025073701876121342,0.994519633808143,0.00015657157192819132,0.0045642852783203125,0.0007504702238318938,0.0001201629638671875,0.00098110632746111,nan,nan,0.9144786596298218
10,29.82655656230015,0.023489992931163887,0.9929321147675054,0.00016448522035233398,0.0037384033203125,0.0007188564900522658,0.00049591064453125,0.000960338168890091,nan,nan,0.9056705236434937
