iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,-32.0069648558539,0.015756750510725816,-0.9999984474865187,2.263987725820888e-06,-0.0011615753173828125,0.0009504925542641776,-0.0015354156494140625,0.0009287070798537498,nan,nan,0.9993419647216797
1,-32.16297612056953,0.015455706531720848,-0.9998980106521458,2.069538811410677e-05,0.00023651123046875,0.0009766816438139226,0.00119781494140625,0.0009461289775138733,nan,nan,0.9881410598754883
2,-32.306116888534376,0.014435480221968555,-0.9996254035867196,3.907654819463275e-05,-0.0001068115234375,0.0009206467290139604,0.001056671142578125,0.0009946828691978393,nan,nan,0.9773031870524088
3,-32.48047506191725,0.014330859371617257,-0.9990302400847781,5.950219450952514e-05,0.000164031982421875,0.0009511906797726056,0.000431060791015625,0.0010197632681559767,nan,nan,0.9666976928710938
4,-32.58226023272715,0.013191036932044544,-0.9985165666818716,7.504540017460859e-05,-0.0007801055908203125,0.0008994807807287861,0.0002536773681640625,0.0010593642526170993,nan,nan,0.956885019938151
5,-32.689611137555595,0.012760695899735143,-0.9978292217425064,9.269882045933518e-05,0.0003147125244140625,0.0009365408597862471,-0.0013828277587890625,0.000998708559872581,nan,nan,0.947566827138265
6,-32.78842418147674,0.011964806073716082,-0.9970453885059669,0.00010718470007051177,-0.0012264251708984375,0.0008545804881169376,0.0008563995361328125,0.0009760915992658324,nan,nan,0.9385925928751627
7,-32.89598947242807,0.0119281549569042,-0.9959922953160003,0.00012743476241713667,0.0001888275146484375,0.0008785610080150676,-0.0005016326904296875,0.0010099620912311748,nan,nan,0.9301850001017252
8,-32.959696021030645,0.010835262561667412,-0.9952595539268714,0.00013566517670116857,-0.000354766845703125,0.0008596376692077565,-0.001567840576171875,0.0009988905244870919,nan,nan,0.9221415519714355
9,-33.03535044538428,0.01062986312609887,-0.994272813754435,0.0001535262385497821,-0.0013866424560546875,0.0008307258028521177,0.0009670257568359375,0.001029750926738591,nan,nan,0.9145075480143229
10,-33.12102536029428,0.010085969852456238,-0.9929610636428379,0.0001669485960106402,0.000274658203125,0.00084958091330539,-0.000255584716796875,0.0010533693171658242,nan,nan,0.9073179562886556
