iter,Energy,sigma_E,Mx,Mz,Ntot,accept
0,-14.566669784662787,0.00012114621356956666,-0.3659175172632132,0.03148651123046875,nan,0.08653704325358073
1,-14.56673690363161,0.00012118127698286658,-0.36504379712530977,0.0308074951171875,nan,0.08408196767171223
2,-14.566966732924351,0.00013572235030370316,-0.36507351145461087,0.031330108642578125,nan,0.08407115936279297
3,-14.566797938052844,0.00013244002878758473,-0.3661696405443422,0.032260894775390625,nan,0.08413855234781902
4,-14.56644841097314,0.00013048274210079977,-0.3647853281764242,0.0311126708984375,nan,0.0841379165649414
5,-14.566632682091177,0.00012019639277622352,-0.3661964065639012,0.030956268310546875,nan,0.08372084299723308
6,-14.566619272886136,0.00012493934815965501,-0.36657581496319835,0.03223419189453125,nan,0.08421675364176433
7,-14.566808624549871,0.00011449900285204212,-0.36625553134389577,0.031642913818359375,nan,0.08442306518554688
8,-14.566699895623241,0.00011202942502961381,-0.3635616391736676,0.03112030029296875,nan,0.08371321360270183
9,-14.566638970707679,0.00012119437912045002,-0.3639865233144377,0.03176116943359375,nan,0.08433977762858073
10,-14.566690151166293,0.00010801209370873705,-0.3670135995870538,0.0317840576171875,nan,0.08425490061442058
11,-14.566658646472007,0.0001254903747949832,-0.3642659331090101,0.03113555908203125,nan,0.08384132385253906
12,-14.566882320435296,0.00010883786831895099,-0.36610490314606636,0.031589508056640625,nan,0.08471139272054036
13,-14.566701469735488,0.0001129727103739024,-0.3652444626922602,0.032012939453125,nan,0.08450539906819661
14,-14.566816569068585,0.00013600711540108338,-0.3669021097544203,0.031475067138671875,nan,0.08398056030273438
15,-14.566616198695039,0.0001249218638851881,-0.36618781346683704,0.0315093994140625,nan,0.08394972483317058
16,-14.566572157579632,0.00012152929540625941,-0.36479675986485915,0.031757354736328125,nan,0.08412933349609375
17,-14.56689284317728,0.00012171619976552385,-0.3660152921405171,0.031124114990234375,nan,0.08437792460123698
18,-14.566715400935184,0.00012853603486452108,-0.36519806790282416,0.031131744384765625,nan,0.08382542928059895
19,-14.566645769636391,0.00012704579304073082,-0.3675504763767634,0.031665802001953125,nan,0.08400217692057292
20,-14.56665922509563,0.00011915909541241645,-0.3691700511728584,0.03179931640625,nan,0.08447678883870442
21,-14.566750246915442,0.00011397712624196843,-0.36558186652594316,0.031818389892578125,nan,0.08439064025878906
22,-14.566622816825557,0.0001251056932376065,-0.3640314230587194,0.03079986572265625,nan,0.08410358428955078
23,-14.566724438528134,0.00011467540881533972,-0.3639421715847533,0.03156280517578125,nan,0.08379809061686198
24,-14.566813535849734,0.00011442181490881043,-0.3637612079992465,0.03167724609375,nan,0.08408896128336589
25,-14.566750924947502,0.00010648250911399193,-0.36348124772230506,0.03147125244140625,nan,0.08350658416748047
26,-14.566496721745372,0.00012602838731823923,-0.3667740358985583,0.0319061279296875,nan,0.08435344696044922
27,-14.566878583247348,0.00012136164828185863,-0.367728782432863,0.0316009521484375,nan,0.08454004923502605
28,-14.566497916984652,0.00012085598306994135,-0.36806971953991763,0.032176971435546875,nan,0.08436870574951172
29,-14.566694285481352,0.00011728251132684272,-0.36494826924769086,0.0320587158203125,nan,0.08453210194905598
30,-14.566761365217715,0.00011802908338536013,-0.36390579153140834,0.03145599365234375,nan,0.08434104919433594
31,-14.56665181027325,0.00012121288589548923,-0.366074510263104,0.031147003173828125,nan,0.08396021525065105
32,-14.566535547349705,0.0001284305557438416,-0.36812574771833795,0.03290557861328125,nan,0.0843515396118164
33,-14.566630551936324,0.00013165867971592148,-0.36851853150197655,0.03191375732421875,nan,0.0844278335571289
34,-14.566796697882012,0.00013786442658868597,-0.3672878296302855,0.03252410888671875,nan,0.08464495340983073
35,-14.566595575831593,0.0001110663355958256,-0.36294842217182577,0.03040313720703125,nan,0.08410231272379558
36,-14.56680489567466,0.00011361510592217372,-0.36310647673376195,0.031665802001953125,nan,0.0836184819539388
37,-14.566705932131978,0.00011291909786711016,-0.36514999756803945,0.031253814697265625,nan,0.08427874247233073
38,-14.566919873717353,0.0001260219775505212,-0.36352076852324444,0.031341552734375,nan,0.08443482716878255
39,-14.566794281557002,0.00012851263519672059,-0.36515025572795423,0.03133392333984375,nan,0.08409436543782552
40,-14.566801841777437,0.00011446252453256687,-0.36429555267909564,0.031829833984375,nan,0.08404541015625
41,-14.56667028224265,0.00012128249443959793,-0.3661309610288299,0.031810760498046875,nan,0.08441925048828125
42,-14.566814121789172,0.00013720197189856452,-0.36719651014891497,0.031314849853515625,nan,0.08429241180419922
43,-14.566644327326884,0.0001261150445826965,-0.36774379792721845,0.0320281982421875,nan,0.08462778727213542
44,-14.566647992004384,0.00012465101582120953,-0.3678114186735968,0.031768798828125,nan,0.08434263865152995
45,-14.56685550805635,0.0001060773758681813,-0.3623533563311412,0.031646728515625,nan,0.08379809061686198
46,-14.566734656785611,0.0001149945783484901,-0.3663363258580432,0.03162384033203125,nan,0.08413378397623698
47,-14.566774352511406,0.0001239221220690196,-0.36656369181820025,0.031352996826171875,nan,0.08377265930175781
48,-14.566732916508691,0.00011945949998028367,-0.36597836723200317,0.032398223876953125,nan,0.0839389165242513
49,-14.566710889494278,0.00012921559140224802,-0.3672367450667764,0.03166961669921875,nan,0.0845327377319336
50,-14.566736049310812,0.00012549379278086948,-0.3649303806974018,0.03136444091796875,nan,0.08393160502115886
51,-14.566746775351286,0.00012034576150367982,-0.3689412030016683,0.031696319580078125,nan,0.08425680796305339
52,-14.566673201666696,0.00013004071002931377,-0.3684892014096164,0.0317535400390625,nan,0.08440876007080078
53,-14.566673886372822,0.0001178776274293788,-0.3670529555716655,0.031986236572265625,nan,0.08444849650065105
54,-14.5667062290186,0.0001253976940587367,-0.36781358046926016,0.031932830810546875,nan,0.08522764841715495
55,-14.566725315268181,0.0001202647831372363,-0.3662323582764344,0.0323028564453125,nan,0.08411407470703125
56,-14.566837741669978,0.0001265077396327294,-0.3631410541036928,0.031402587890625,nan,0.08423741658528645
57,-14.566767771557204,0.00012260941207204945,-0.3666451363290122,0.03186798095703125,nan,0.08408737182617188
58,-14.566776841621852,0.00012884167710112537,-0.3658966386650917,0.03118896484375,nan,0.08438618977864583
59,-14.566772259185218,0.00011198127088766168,-0.3642268766398473,0.0323638916015625,nan,0.08350404103597005
60,-14.566687384346084,0.00012204061398810885,-0.3646395192893124,0.03125762939453125,nan,0.08397483825683594
61,-14.566824534680435,0.00014275668469369593,-0.36476233547915626,0.031909942626953125,nan,0.0836944580078125
62,-14.566966824815538,0.00011733809022402697,-0.3640229228765861,0.032100677490234375,nan,0.08373832702636719
63,-14.566779820765884,0.0001330876183948811,-0.36641623451511407,0.03089141845703125,nan,0.08450953165690105
64,-14.566722659294815,0.00012156970053109475,-0.3654585042054066,0.0310821533203125,nan,0.0842580795288086
65,-14.566627370722,0.0001258615461259718,-0.36670339150961695,0.0324249267578125,nan,0.08411820729573567
66,-14.566782182710817,0.00011867118501658777,-0.3667505562048774,0.031475067138671875,nan,0.08472824096679688
67,-14.566614414421327,0.00012014681922831493,-0.36665324340384586,0.031627655029296875,nan,0.08426539103190105
68,-14.566775765010089,0.00012797731611910278,-0.36647932907705183,0.031665802001953125,nan,0.08453083038330078
69,-14.566680983150665,0.00012460130223464376,-0.3671682760775212,0.0317840576171875,nan,0.08416080474853516
70,-14.56661435703505,0.00011738529332420464,-0.36661552589700364,0.031940460205078125,nan,0.08420753479003906
71,-14.566689820801376,0.00013242003746565713,-0.3671199838904897,0.03195953369140625,nan,0.08455880482991536
72,-14.566949448139209,0.00012109725423182289,-0.3661766233435344,0.03160858154296875,nan,0.084136962890625
73,-14.566806753077612,0.0001220953350764144,-0.3647144243692253,0.03147125244140625,nan,0.0835103988647461
74,-14.56671191888205,0.00011879637794196176,-0.36595081463293866,0.03183746337890625,nan,0.08406448364257812
75,-14.566693003289313,0.00012489320670303576,-0.36637260169730723,0.031341552734375,nan,0.0843667984008789
76,-14.56687240120859,0.00011716055217529001,-0.363847979263312,0.03253936767578125,nan,0.08394972483317058
77,-14.566832906423313,0.00011298040002664995,-0.3642944067276943,0.030780792236328125,nan,0.08419609069824219
78,-14.566807961177233,0.00013005984941603208,-0.3659911194722696,0.03128814697265625,nan,0.08408133188883464
79,-14.566819211763047,0.00011881807191299711,-0.36732878611339004,0.0310821533203125,nan,0.08379777272542317
80,-14.566586741153476,0.00014057374233147614,-0.36625710384532795,0.032253265380859375,nan,0.08410167694091797
81,-14.566715203696251,0.0001077387472420795,-0.36345228275149566,0.03176116943359375,nan,0.08345762888590495
82,-14.566607261923064,0.0001232584025446085,-0.3652621823810023,0.03173828125,nan,0.08395449320475261
83,-14.566665760902643,0.00012746243961621884,-0.3648501142035201,0.031158447265625,nan,0.0836499532063802
84,-14.566825257659499,0.00011077718409402267,-0.36613169888605057,0.0313720703125,nan,0.08407847086588542
85,-14.566715389489639,0.00011378240061090009,-0.3664239347869511,0.031063079833984375,nan,0.08418464660644531
86,-14.566797942799552,0.00011519223472776196,-0.3660517950842035,0.031581878662109375,nan,0.08417256673177083
87,-14.566725842680748,0.00011833742127390502,-0.36685579081013486,0.03070068359375,nan,0.08468977610270183
88,-14.566875203304978,0.00011133962820772264,-0.3660466732238632,0.03192138671875,nan,0.08385245005289714
89,-14.566756771158651,0.00012277708193921233,-0.36651620631074877,0.03094482421875,nan,0.08389600118001302
90,-14.56648243331252,0.0001327153907104168,-0.3648397081721413,0.030666351318359375,nan,0.08423932393391927
91,-14.566760783120309,0.0001268406455134889,-0.36472281396032713,0.0308685302734375,nan,0.08357842763264973
92,-14.566729021351549,0.00011438546266687254,-0.36623147056504024,0.030818939208984375,nan,0.08424631754557292
93,-14.566858268467145,0.00010166159244089395,-0.3644322826127109,0.031703948974609375,nan,0.0840746561686198
94,-14.566775327462288,0.00011792524738279243,-0.3667826393867557,0.03107452392578125,nan,0.08468564351399739
95,-14.566660522700667,0.00010796176217596429,-0.3652475087808966,0.031520843505859375,nan,0.08367729187011719
96,-14.566837258321124,0.00011074605196222758,-0.3646064199234331,0.0322113037109375,nan,0.08396657307942708
97,-14.566691156657553,0.00011207295462784423,-0.36701231038901483,0.0321502685546875,nan,0.0840915044148763
98,-14.5666781594662,0.0001216760715016886,-0.36583610381480014,0.03234100341796875,nan,0.08419354756673177
99,-14.566664914303175,0.00012210656413649606,-0.3650648562191776,0.03130340576171875,nan,0.08405335744222005
100,-14.566597831967606,0.00011539297096008665,-0.36503441409871584,0.031703948974609375,nan,0.08426253000895183
101,-14.566765805623724,0.00012484708343914162,-0.36720947990981756,0.030956268310546875,nan,0.08382161458333333
102,-14.566856070183606,0.00011830737754403418,-0.36549205718243627,0.03104400634765625,nan,0.08393128712972005
103,-14.566819478952068,0.00010981968958726576,-0.3669871004167504,0.031402587890625,nan,0.08423868815104167
104,-14.566749417209742,0.00011384626172827395,-0.36674255822477164,0.03188323974609375,nan,0.08433850606282552
105,-14.566661510693805,0.00012885658994999722,-0.3645714084890983,0.0315399169921875,nan,0.08350499471028645
106,-14.56677783815731,0.00011019518954280411,-0.3672058692116593,0.031646728515625,nan,0.0839236577351888
107,-14.566536177444917,0.00012096873959463748,-0.3663516511609828,0.031665802001953125,nan,0.0843960444132487
108,-14.566899318549234,0.00010983988634698058,-0.3681052457997538,0.03206634521484375,nan,0.08458709716796875
109,-14.566738782572257,0.00013394685985327741,-0.36617542941104375,0.031139373779296875,nan,0.08418909708658855
110,-14.566576648778465,0.00013222533295981117,-0.3678372013671378,0.032329559326171875,nan,0.08452161153157552
111,-14.566667744991104,0.00012290661066787235,-0.3662789459338427,0.031002044677734375,nan,0.08376280466715495
112,-14.566538982141664,0.00013521981577536786,-0.364776332783336,0.0308990478515625,nan,0.08426793416341145
113,-14.566813311231009,0.00010416539677195557,-0.36515261421830303,0.031528472900390625,nan,0.08411089579264323
114,-14.566725465470036,0.00010689562678434026,-0.3648265028499367,0.03078460693359375,nan,0.08419322967529297
115,-14.56684007379025,0.00010896725214906754,-0.3647808186715622,0.031402587890625,nan,0.08368174235026042
116,-14.566811696452552,0.00012409321237997705,-0.36559307256038664,0.032138824462890625,nan,0.0845486323038737
117,-14.566613750219396,0.00011768906267907792,-0.3645127807143922,0.0313262939453125,nan,0.0843973159790039
118,-14.56654376588908,0.00011743947079358866,-0.3660183943539721,0.0313568115234375,nan,0.0841983159383138
119,-14.566773574913608,0.00011108297772625263,-0.36781001304318295,0.032184600830078125,nan,0.08400885264078777
120,-14.566756196301627,0.00011622427008509148,-0.3637226404194962,0.032012939453125,nan,0.0838623046875
121,-14.566705385996706,0.0001305201503519239,-0.36618820037489286,0.03131866455078125,nan,0.08415476481119792
122,-14.56674104797277,0.00011517088662805937,-0.3661387048578888,0.032012939453125,nan,0.08407179514567058
123,-14.566678753088702,0.00011348353814050111,-0.36593271210389844,0.032184600830078125,nan,0.08360799153645833
124,-14.566782750374923,0.00011565506658506783,-0.3655128744159555,0.03203582763671875,nan,0.08466275533040364
125,-14.566810827299335,0.00011052229648411926,-0.363332829751684,0.0319061279296875,nan,0.08414332071940105
126,-14.566651727525084,0.0001169503164180945,-0.3639502838252042,0.031219482421875,nan,0.08394273122151692
127,-14.566499659734339,0.0001310773870769865,-0.36800239711351423,0.0320892333984375,nan,0.08440144856770833
