iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,-1.3528291480816754e-11,1.159723568801231e-10,-4.2275910877552357e-13,3.6241361525038468e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0011833508809407551
1,-1.3528291480816754e-11,1.159723568801231e-10,-4.2275910877552357e-13,3.6241361525038468e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
2,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
3,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
4,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
5,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
6,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
7,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
8,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
9,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
10,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
11,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
12,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
13,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
14,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
15,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
16,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
17,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
18,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
19,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
20,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
21,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
22,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
23,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
24,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
25,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
26,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
27,-1.3529237880893117e-11,1.1597232835759804e-10,-4.227886837779099e-13,3.6241352611749387e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
28,-1.352924259209037e-11,1.1597232974800855e-10,-4.2278883100282404e-13,3.6241353046252673e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
29,-1.352924259209037e-11,1.1597232974800855e-10,-4.2278883100282404e-13,3.6241353046252673e-12,-0.012939453125,0.0027022923402619005,-0.194091796875,0.04053438510392851,nan,nan,0.0
