J,alphaInt,E_final,abs_Mx,abs_Mz_AFM,Mz_AFM_sq
2.0,0.5,-49.91283474417251,0.7793394840613133,0.0012378692626953125,nan
1.75,0.5,-46.87048409147873,0.81664500692963,0.0030345916748046875,0.06404149532318115
1.5,0.5,-43.98803136222843,0.85100368152466,0.001720428466796875,0.055914878845214844
1.25,0.5,-41.27682580577336,0.8808561166307606,1.9073486328125e-06,0.050051331520080566
1.0,0.5,-38.75727664320164,0.9094558127735406,0.001415252685546875,0.04547226428985596
0.75,0.5,-36.463164956165485,0.9365122082707646,0.000804901123046875,0.040964484214782715
0.5,0.5,-34.45249999926794,0.9610478006511511,0.0001087188720703125,0.03764951229095459
2.0,0.75,-50.09785019890454,0.687153862790971,0.00479888916015625,0.15730512142181396
1.75,0.75,-46.73778438125324,0.7559628559631466,0.001674652099609375,0.1004408597946167
1.5,0.75,-43.65035147642841,0.811138062123471,0.00408935546875,0.07506299018859863
1.25,0.75,-40.8233030525862,0.8565890561222889,8.20159912109375e-05,0.06037306785583496
1.0,0.75,-38.26635664432523,0.8933299702815412,0.00099945068359375,0.05173230171203613
0.75,0.75,-36.00840922565488,0.928919202561364,0.0020503997802734375,0.0450589656829834
0.5,0.75,-34.10551941383892,0.9604280795709029,0.00151824951171875,0.039887309074401855
2.0,1.0,-51.21714830904878,0.5559895610014972,0.004207611083984375,0.44258081912994385
1.75,1.0,-47.28240371178954,0.6775216906239536,0.006381988525390625,0.2115483283996582
1.5,1.0,-43.853551158937265,0.7645636366806116,0.0006618499755859375,0.10218977928161621
1.25,1.0,-40.80745291354708,0.8272332808245474,0.00081634521484375,0.07424700260162354
1.0,1.0,-38.123703191412815,0.8794690758433713,0.0015621185302734375,0.058667778968811035
0.75,1.0,-35.81729999657352,0.9222786249409257,0.0005397796630859375,0.048442721366882324
0.5,1.0,-33.935914558237144,0.9582133261479718,0.000179290771484375,0.04140305519104004
2.0,2.0,-57.75257785766509,0.3371527168036867,0.0075321197509765625,0.8760322332382202
1.75,2.0,-52.003519343006595,0.3988824589923151,0.04654502868652344,0.8162509202957153
1.5,2.0,-46.63345518778986,0.5072849507794781,0.016454696655273438,0.6602144241333008
1.25,2.0,-42.141868015735476,0.7102866397288681,0.00054931640625,0.1892406940460205
1.0,2.0,-38.6480294318431,0.8181869710083038,0.00095367431640625,0.09588456153869629
0.75,2.0,-35.8893172562273,0.895673320438157,9.1552734375e-05,0.06298434734344482
0.5,2.0,-33.82472156278988,0.9502240409337068,0.0004367828369140625,0.047429442405700684
2.0,2.5,-60.28403055978074,0.3100534998071297,0.0077342987060546875,0.8978797197341919
1.75,2.5,-54.097241528432285,0.36554283594290393,0.05053138732910156,0.8536562919616699
1.5,2.5,-48.21970550176974,0.4458944834905818,0.030881881713867188,0.7655737400054932
1.25,2.5,-42.98587369856878,0.6070142422479109,0.0043487548828125,0.4786052703857422
1.0,2.5,-39.03744309060339,0.7908646981437157,0.001140594482421875,0.12154316902160645
0.75,2.5,-36.03828659402764,0.8841641616351787,0.0007724761962890625,0.06847083568572998
0.5,2.5,-33.85552359939394,0.9468965497527623,0.0016155242919921875,0.05007350444793701
2.0,3.0,-62.26591908767282,0.29622021620843547,0.06720161437988281,0.9112484455108643
1.75,3.0,-55.757525215253274,0.34243571362118486,0.04381370544433594,0.8744099140167236
1.5,3.0,-49.524921662484495,0.41828155062845596,0.05342292785644531,0.8023467063903809
1.25,3.0,-43.8134840271482,0.5692912902564867,0.021251678466796875,0.5353196859359741
1.0,3.0,-39.39498139558341,0.7667252857071715,0.0033245086669921875,0.14190387725830078
0.75,3.0,-36.17923585253316,0.8730706614126278,0.001873016357421875,0.07571899890899658
0.5,3.0,-33.89168175298567,0.9436526228352142,0.000362396240234375,0.05175745487213135
2.0,3.5,-63.783725200246685,0.2837421840330394,0.018909454345703125,0.9177811145782471
1.75,3.5,-57.03710195813867,0.3311433124809676,0.05794715881347656,0.8874467611312866
1.5,3.5,-50.548804651503914,0.39705239191590946,0.025049209594726562,0.8280526399612427
1.25,3.5,-44.532781994497704,0.5126758641716809,0.04573249816894531,0.6865445375442505
1.0,3.5,-39.69159594755515,0.7316050277611239,0.000179290771484375,0.23111724853515625
0.75,3.5,-36.299569984193255,0.8658451366780229,0.0034809112548828125,0.08095073699951172
0.5,3.5,-33.924629417082414,0.9407430948396001,0.0010662078857421875,0.05362880229949951
2.0,4.0,-64.92805862011582,0.27521964795991805,0.015367507934570312,0.9223726987838745
1.75,4.0,-58.00546758903071,0.3219950502903874,0.03223991394042969,0.8936697244644165
1.5,4.0,-51.32952848520515,0.3846984358292069,0.011747360229492188,0.840251088142395
1.25,4.0,-45.0939322541201,0.4920983283685775,0.03425407409667969,0.7110648155212402
1.0,4.0,-39.930077686838025,0.698496603078792,0.0051116943359375,0.3234819173812866
0.75,4.0,-36.39662044556939,0.8593946693656348,0.000965118408203125,0.08548533916473389
0.5,4.0,-33.95179707010459,0.9390550474514647,0.0004787445068359375,0.05455601215362549
2.0,4.5,-65.7808098067254,0.2708596187369522,0.029378890991210938,0.9257630109786987
1.75,4.5,-58.72872502977487,0.3157422228080371,0.032787322998046875,0.8976742029190063
1.5,4.5,-51.915568239382004,0.37597130703462966,0.03946495056152344,0.8504074811935425
1.25,4.5,-45.52530214311885,0.4757204915891528,0.06716156005859375,0.7418304681777954
1.0,4.5,-40.13854700385193,0.6821522800742836,0.002216339111328125,0.35411226749420166
0.75,4.5,-36.47218290871978,0.8545641744838264,0.001682281494140625,0.08982479572296143
0.5,4.5,-33.97312642123982,0.9365066549760634,0.000152587890625,0.05503809452056885
2.0,5.0,-66.41022944500952,0.26747517039928176,0.0041522979736328125,0.9279404878616333
1.75,5.0,-59.263370326626706,0.3114097006853521,1.9073486328125e-06,0.9009112119674683
1.5,5.0,-52.350299753234374,0.36895238902435096,0.05070304870605469,0.856791615486145
1.25,5.0,-45.84671749649114,0.4668308799942163,0.0036945343017578125,0.7496174573898315
1.0,5.0,-40.30436918251007,0.6980190158551663,0.011323928833007812,0.2607618570327759
0.75,5.0,-36.529878072787305,0.850227322284274,0.0013217926025390625,0.09294235706329346
0.5,5.0,-33.98938991891109,0.9361182079841253,0.0011386871337890625,0.0562138557434082
2.0,5.5,-66.87133956810627,0.26423970276102215,0.03017425537109375,0.9281942844390869
