iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-67.20644113737681,0.00047343364432021084,-0.26629850066698046,0.0010038989529537186,0.0001010894775390625,0.00024322631870238342,-0.0074520111083984375,0.04252074998093477,nan,nan,nan,nan,0.03961722056070963
1,-67.20572386463911,0.00041029331232087505,-0.26809725488879227,0.0009677561292230924,0.00045013427734375,0.00027164300092604127,-0.0077056884765625,0.042499308626780766,nan,nan,nan,nan,0.03792126973470052
2,-67.20647678787843,0.00037043521177921945,-0.2663968596048729,0.001023434731311976,7.05718994140625e-05,0.00026155255704145064,-0.0076808929443359375,0.04252492775077557,nan,nan,nan,nan,0.03779522577921549
3,-67.20684089772188,0.0003181925778219065,-0.2654789443327229,0.0010095914579900374,2.86102294921875e-05,0.0002514849157308127,-0.0075321197509765625,0.04253875579515063,nan,nan,nan,nan,0.037423928578694664
4,-67.20725302092796,0.0002685861848484699,-0.2642683409458758,0.0009779698914067385,9.72747802734375e-05,0.0002558260100479587,-0.0070629119873046875,0.04255907746141647,nan,nan,nan,nan,0.03737688064575195
5,-67.20705364351417,0.0002423655202065392,-0.26483199980365335,0.0010263537217086271,0.000553131103515625,0.00024387033362408827,-0.00740814208984375,0.04254816115656923,nan,nan,nan,nan,0.037415663401285805
6,-67.2064720956855,0.00022696237900980042,-0.26659667479729826,0.001033651090795908,9.34600830078125e-05,0.00025103425793981287,-0.0074100494384765625,0.04252052337266443,nan,nan,nan,nan,0.03736178080240885
7,-67.2068553873652,0.00019162256618141367,-0.26569505240138813,0.0009891649962798365,-0.0001201629638671875,0.0002534926469524024,-0.0072231292724609375,0.042539169619718424,nan,nan,nan,nan,0.037332375844319664
8,-67.20662295948081,0.00015893047682176965,-0.2663295456828404,0.0009673088804079341,0.00046539306640625,0.0002454315177524783,-0.00727081298828125,0.042524830171718236,nan,nan,nan,nan,0.03740469614664713
9,-67.20702429562962,0.0001483790027819273,-0.26369237758413266,0.000944628273014582,-3.4332275390625e-05,0.0002399423898409149,-0.007389068603515625,0.04255919732227142,nan,nan,nan,nan,0.03691864013671875
10,-67.20697137448714,0.00013071115285044027,-0.26471524581669986,0.0010067237362559444,-0.0001163482666015625,0.00025806174958539074,-0.0074291229248046875,0.04254753808906456,nan,nan,nan,nan,0.037277539571126304
11,-67.20690469984933,0.00012402010371481836,-0.26486827445836064,0.001002773577368237,-0.00025177001953125,0.00025079980041415104,-0.007160186767578125,0.04254502443483165,nan,nan,nan,nan,0.037118752797444664
12,-67.20723174253321,0.00011072821674692834,-0.2624514701665125,0.0010058981660003023,-0.0001049041748046875,0.0002506773661302132,-0.0077228546142578125,0.042579798974373896,nan,nan,nan,nan,0.037015438079833984
13,-67.20696905713429,9.932683362798109e-05,-0.26437120225946803,0.0009893381409068122,-6.29425048828125e-05,0.0002463278032839664,-0.0075397491455078125,0.04255117624974816,nan,nan,nan,nan,0.03713909784952799
14,-67.2069658328203,8.535150466624654e-05,-0.2636323718186944,0.000976743578724647,0.0007648468017578125,0.0002575763673667069,-0.0074863433837890625,0.04255874564750362,nan,nan,nan,nan,0.0369416872660319
15,-67.2069778162993,7.983431816578837e-05,-0.26468715466582926,0.0009365456204905379,0.0001354217529296875,0.0002516193683097117,-0.0073947906494140625,0.042544396785008,nan,nan,nan,nan,0.03716834386189779
